fit_id,db_name,trial_start,trial_stop,num_trials,script_name,commit,fit_model,ref_model,disc,fit_method
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,2.6807,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.5816,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,4.2186,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,4.3211,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,10.8827,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.1718,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.3768,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.7114,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.0418,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.7119,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.9215,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,13.4634,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,9.1048,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.1713,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.8717,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.6844,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.1315,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,8.1020,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,3.1108,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,8.1720,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,8.9022,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.3647,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.4783,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,12.4281,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,8.7122,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.3238,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,8.5421,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.9415,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,15.1738,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,10.1875,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,10.1525,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.8857,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.8686,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.4716,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.5814,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,11.5429,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.3518,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,4.9412,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.2868,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.7148,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.1313,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,9.9525,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,9.5957,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.5099,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.9543,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.2918,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.4919,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.1646,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.0335,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,8.0120,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.5569,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.5183,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.7414,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.2998,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,8.8822,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.3218,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,8.5755,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.1382,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.8315,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,4.3177,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.9667,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,4.2811,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,8.8122,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.3966,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.5519,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,8.0920,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.0718,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.9865,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.2418,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,11.6729,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.5519,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,9.2682,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,11.0428,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.7117,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.1388,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.6017,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,4.1210,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.0713,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,9.1473,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.6217,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.7869,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.7614,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,10.8377,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,4.4111,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,4.1610,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.9965,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.7864,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.9667,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.4414,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,4.8432,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.6514,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.3513,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,8.7851,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,8.0720,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,10.5926,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,10.3566,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.1713,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.5169,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.3413,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.4652,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,9.6724,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.1418,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.0913,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.9315,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,10.6187,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.6664,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.4919,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,8.5836,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.9434,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,9.8825,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,8.4221,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.0118,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,13.1833,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.7144,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,9.3323,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,12.3931,max_pp
